Country,Year,Rank,Total,S1: Demographic Pressures,S2: Refugees and IDPs,C3: Group Grievance,E3: Human Flight and Brain Drain,E2: Economic Inequality,E1: Economy,P1: State Legitimacy,P2: Public Services,P3: Human Rights,C1: Security Apparatus,C2: Factionalized Elites,X1: External Intervention
Somalia,2023,1st,111.89999999999999,10.0,9.0,8.7,8.6,9.1,9.5,9.6,9.8,9.0,9.5,10.0,9.1
Yemen,2023,2nd,108.89999999999999,9.6,9.6,8.8,6.4,7.9,9.9,9.8,9.6,9.6,8.6,9.9,9.2
South Sudan,2023,3rd,108.50000000000001,9.7,10.0,8.6,6.5,8.6,8.6,9.8,9.7,8.7,9.9,9.2,9.2
Congo Democratic Republic,2023,4th,107.19999999999997,9.7,9.8,9.4,6.4,8.4,8.1,9.3,9.3,9.3,8.8,9.6,9.1
Syria,2023,5th,107.10000000000001,7.4,9.1,9.1,8.0,6.5,9.6,10.0,9.0,9.1,9.4,9.9,10.0
Afghanistan,2023,6th,106.60000000000001,9.2,8.6,8.3,8.5,8.2,9.6,9.4,10.0,8.7,9.7,8.7,7.7
Sudan,2023,7th,106.19999999999999,8.8,9.6,9.3,7.5,8.5,9.3,9.4,8.6,9.2,8.3,9.6,8.1
Central African Republic,2023,8th,105.70000000000002,9.3,9.5,8.1,6.2,9.6,8.2,8.9,10.0,9.1,8.0,9.4,9.4
Chad,2023,9th,104.60000000000001,9.5,9.0,8.1,7.7,8.7,8.4,9.1,9.6,8.4,8.7,9.5,7.9
Haiti,2023,10th,102.89999999999999,8.8,7.7,5.5,8.3,9.2,8.9,9.9,9.8,8.7,6.8,9.7,9.6
Ethiopia,2023,11th,100.39999999999999,9.8,9.5,8.9,6.2,7.5,6.8,8.2,8.7,8.8,8.6,9.3,8.1
Myanmar,2023,12th,100.19999999999997,7.0,9.2,9.7,6.3,7.3,7.6,9.3,9.1,9.3,9.1,9.0,7.3
Mali,2023,13th,99.5,8.8,8.5,8.5,7.7,7.2,7.5,8.6,8.9,7.5,9.6,7.2,9.5
Guinea,2023,14th,98.50000000000001,8.8,6.2,9.4,6.3,7.5,8.0,9.7,9.4,7.3,8.7,10.0,7.2
Nigeria,2023,15th,97.99999999999999,9.6,6.4,8.6,6.7,8.1,8.8,8.2,8.8,8.6,9.0,9.6,5.6
Zimbabwe,2023,16th,96.9,8.7,7.6,5.9,7.1,7.8,9.2,8.9,8.8,7.8,8.4,10.0,6.7
Libya,2023,17th,96.1,6.0,7.5,7.3,5.0,6.4,8.9,9.6,8.0,9.3,9.5,9.3,9.3
Ukraine,2023,18th,95.89999999999999,7.3,10.0,6.8,8.9,4.9,8.5,6.4,7.3,7.8,10.0,8.0,10.0
Eritrea,2023,19th,94.49999999999999,7.7,6.6,8.7,8.6,7.9,7.1,9.7,8.1,9.1,6.0,8.4,6.6
Burundi,2023,20th,94.19999999999999,8.7,8.0,6.7,5.2,7.2,8.8,9.1,8.0,8.6,7.8,8.5,7.6
Burkina Faso,2023,21st,94.00000000000001,8.3,8.2,5.8,7.0,8.3,7.2,7.4,8.6,7.0,9.3,8.2,8.7
Mozambique,2023,22nd,94.0,9.6,7.9,7.4,7.1,9.2,7.7,7.1,9.7,7.2,7.0,6.3,7.8
Cameroon,2023,23rd,93.99999999999999,9.0,8.4,8.1,6.9,7.4,6.0,8.8,8.3,7.3,8.1,9.3,6.4
Niger,2023,24th,93.39999999999999,8.9,7.9,7.7,6.6,7.8,6.4,6.6,9.5,6.7,8.3,9.6,7.4
