Product,Quantity,Price,Region
Headphones,18,1343.25,East
Monitor,10,262.58,East
Mouse,19,794.32,West
Tablet,17,388.18,East
Laptop,19,892.89,East
Laptop,5,1301.55,South
Monitor,9,1326.52,West
Tablet,12,393.19,West
Tablet,1,1366.16,West
Keyboard,1,908.24,West
Mouse,15,557.82,West
Keyboard,2,1076.86,West
Keyboard,16,748.42,North
Keyboard,8,598.08,East
Keyboard,13,1072.37,West
Keyboard,1,410.65,East
Headphones,16,528.87,East
Tablet,7,679.96,North
Keyboard,5,417.84,West
Tablet,3,637.54,South
Tablet,12,878.64,North
Phone,16,1124.41,South
Headphones,19,1162.43,East
Keyboard,5,1243.05,East
Laptop,14,1129.11,North
Monitor,5,1037.51,North
Mouse,15,394.38,South
Laptop,17,630.32,West
Headphones,14,742.69,South
Monitor,5,170.19,North
Headphones,12,816.14,South
Tablet,16,682.69,North
Monitor,16,1213.06,South
Tablet,7,1467.96,North
Laptop,4,856.21,North
Laptop,1,517.9,North
Monitor,5,112.93,West
Monitor,10,1390.73,South
Keyboard,5,1382.72,South
Headphones,4,416.84,South
Keyboard,2,1058.35,North
Headphones,10,159.38,South
Keyboard,19,291.01,South
Tablet,1,364.37,North
Monitor,5,477.02,East
Laptop,13,1493.96,North
Headphones,4,1060.54,South
Headphones,16,607.09,North
Laptop,16,1118.8,East
Keyboard,2,1377.12,North
Headphones,17,1440.12,South
Mouse,12,133.9,East
Tablet,18,622.06,West
Monitor,3,204.8,South
Laptop,1,536.71,East
Monitor,1,296.04,East
Mouse,19,987.93,West
Headphones,11,612.99,North
Headphones,5,382.62,North
Mouse,12,435.61,South
Laptop,3,572.5,West
Tablet,1,426.93,North
Phone,1,707.2,West
Laptop,8,96.86,North
Phone,10,455.66,East
Mouse,11,646.25,North
Keyboard,12,924.03,West
Phone,13,442.89,East
Tablet,12,243.12,East
Keyboard,14,160.49,East
Phone,2,1413.77,West
Mouse,19,654.13,South
Keyboard,18,892.69,South
Mouse,3,1382.81,South
Phone,17,169.99,West
Mouse,8,1321.16,East
Tablet,10,849.8,South
Phone,2,289.01,West
Phone,19,646.32,South
Phone,9,1177.52,North
Laptop,7,746.54,South
Laptop,4,1478.66,South
Laptop,18,596.27,East
Tablet,13,1136.89,West
Keyboard,11,619.83,East
Mouse,4,1252.29,East
Headphones,4,875.17,East
Phone,10,142.09,East
Mouse,5,103.39,East
Phone,9,244.09,South
Tablet,3,69.82,East
Phone,17,159.27,East
Laptop,3,1052.99,West
Headphones,16,824.8,North
Monitor,4,1137.37,South
Phone,18,1374.09,South
Mouse,17,898.47,South
Laptop,7,1102.88,East
Monitor,5,1147.77,East
Headphones,12,597.88,East
Monitor,17,399.57,West
Laptop,13,347.32,North
Keyboard,3,414.59,East
Keyboard,9,448.36,North
Monitor,17,350.48,West
Tablet,17,1323.42,South
Mouse,16,1147.65,East
Mouse,13,118.0,North
Monitor,19,439.58,North
Phone,17,82.17,East
Phone,4,772.34,South
Mouse,12,740.51,South
Mouse,9,1255.49,South
Keyboard,19,496.28,West
Tablet,12,1233.76,North
Laptop,9,1453.56,North
Phone,7,178.19,North
Mouse,14,1198.14,West
Keyboard,19,905.44,North
Headphones,15,746.07,West
Keyboard,16,659.78,South
Phone,5,1187.77,East
Phone,3,977.07,North
Keyboard,12,1217.31,North
Laptop,4,1359.57,South
Monitor,16,945.03,East
Phone,7,1471.67,West
Keyboard,13,931.73,East
Mouse,10,973.13,South
Keyboard,7,854.48,South
Tablet,14,181.95,East
Monitor,5,1103.28,West
Headphones,3,843.8,West
Laptop,11,703.82,North
Headphones,11,1370.18,West
Monitor,18,482.04,East
Monitor,15,809.22,South
Monitor,12,1061.58,North
Headphones,9,1204.88,North
Mouse,10,716.05,South
Monitor,12,1271.03,West
Keyboard,17,1164.93,South
Headphones,6,146.04,West
Monitor,7,116.5,South
Keyboard,14,950.17,East
Mouse,13,553.75,West
Tablet,8,353.24,East
Mouse,10,890.49,North
Monitor,9,545.27,South
Headphones,18,829.03,North
