CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Male,21,15,81
3,Female,20,16,6
4,Female,23,16,77
5,Female,31,17,40
6,Female,22,17,76
7,Female,35,18,6
8,Female,23,18,94
9,Male,64,19,3
10,Female,30,19,72
11,Male,67,20,14
12,Female,35,20,99
13,Female,58,21,15
14,Female,24,21,77
15,Male,37,22,13
16,Male,22,22,79
17,Female,35,23,35
18,Male,20,23,66
19,Male,52,24,29
20,Female,35,24,98
21,Male,35,25,35
22,Male,25,25,73
23,Female,46,26,5
24,Male,31,26,73
25,Female,54,28,14
26,Male,29,28,82
27,Female,45,28,32
28,Male,35,28,61
29,Female,40,29,31
30,Female,23,29,87
