Student_ID,CGPA,Internships,Placed,Salary (INR LPA)
1,7.9,3,Yes,17.63
2,7.39,0,Yes,28.37
3,8.02,2,Yes,8.95
4,8.72,4,Yes,22.59
5,7.31,2,Yes,19.67
6,7.31,2,Yes,22.96
7,8.76,0,No,0.0
8,8.11,0,Yes,8.8
9,7.12,0,Yes,20.95
10,7.93,1,Yes,16.45
11,7.13,3,Yes,23.06
12,7.13,1,No,0.0
13,7.69,3,Yes,11.83
14,5.97,3,Yes,27.03
15,6.12,2,Yes,5.28
16,7.05,2,Yes,24.79
17,6.69,3,Yes,26.26
18,7.75,3,Yes,25.07
19,6.77,1,No,0.0
20,6.37,1,Yes,16.84
21,8.67,2,Yes,14.84
22,7.32,0,Yes,29.9
23,7.55,3,Yes,9.19
24,6.36,1,Yes,17.77
25,7.06,2,No,0.0
26,7.59,1,No,0.0
27,6.58,3,Yes,21.11
28,7.8,3,No,0.0
29,7.02,4,No,0.0
30,7.27,0,No,0.0
31,7.02,4,Yes,21.92
32,8.98,2,No,0.0
33,7.49,1,Yes,8.51
34,6.65,2,No,0.0
35,8.16,3,Yes,20.66
36,6.52,4,Yes,25.1
37,7.67,4,No,0.0
38,5.93,4,Yes,4.35
39,6.44,2,No,0.0
40,7.66,3,No,0.0
41,8.09,1,Yes,27.61
42,7.64,1,Yes,3.8
43,7.41,2,Yes,12.61
44,7.26,4,Yes,3.43
45,6.32,0,Yes,5.08
46,6.92,2,No,0.0
47,7.13,2,Yes,27.6
48,8.35,3,Yes,12.58
49,7.77,1,No,0.0
50,6.09,2,Yes,14.47
51,7.76,2,Yes,8.81
52,7.19,4,No,0.0
53,6.96,4,Yes,19.12
54,7.99,0,No,0.0
55,8.32,3,No,0.0
56,8.25,0,No,0.0
57,6.83,4,Yes,19.06
58,7.25,1,Yes,13.05
59,7.77,4,Yes,11.99
60,8.28,3,No,0.0
61,7.12,4,No,0.0
62,7.35,3,Yes,26.89
63,6.61,3,Yes,13.35
64,6.54,3,Yes,16.32
65,8.15,3,Yes,10.65
66,8.58,3,No,0.0
67,7.44,1,Yes,24.24
68,8.3,0,No,0.0
69,7.79,2,No,0.0
70,6.98,0,Yes,13.73
71,7.79,3,Yes,16.87
72,8.73,1,Yes,9.84
73,7.47,4,Yes,29.67
74,8.75,1,No,0.0
75,5.4,3,No,0.0
76,8.16,1,No,0.0
77,7.57,1,Yes,10.87
78,7.26,3,Yes,23.81
79,7.57,1,No,0.0
80,5.91,2,Yes,14.54
81,7.32,2,Yes,8.57
82,7.79,1,Yes,24.59
83,8.68,4,Yes,12.01
84,7.09,3,Yes,26.36
85,6.85,2,Yes,27.71
86,7.1,4,No,0.0
87,8.23,1,Yes,26.22
