text,label
"The human brain is about 2% of the bodys weight, but it uses about 20% of the bodys energy.",0
The brain is made up of about 100 billion neurons.,0
The Sun rises in the East, 0
"Neurons can fire up to 1,000 times per second.",0
The brain is capable of storing more information than any computer.,0
The brain is constantly changing and adapting.,0
The heart is about the size of a clenched fist.,0
"The heart beats about 100,000 times per day.",0
The heart pumps about 5 liters of blood per minute.,0
The heart is the first organ to form in a human embryo.,0
The heart is made up of four chambers two atria and two ventricles.,0
The lungs are about the size of two football fields.,0
The lungs contain about 300 million alveoli.,0
Alveoli are tiny air sacs where oxygen and carbon dioxide are exchanged.,0
The lungs are responsible for about 20% of the bodys heat loss.,0
The lungs are the only organs that can float in water.,0
The stomach is about the size of a football.,0
The stomach can hold about 1 liter of food.,0
"The stomach produces hydrochloric acid, which helps to break down food.",0
"The stomach also produces mucus, which protects the stomach lining from the acid.",0
The stomach takes about 24 hours to empty after a meal.,0
The intestines are about 25 feet long.,0
The intestines are responsible for absorbing nutrients from food.,0
"The intestines also produce mucus, which helps to move food along.",0
"The intestines are home to trillions of bacteria, which help to digest food and produce vitamins.",0
The intestines take about 1224 hours to move food from one end to the other.,0
The kidneys are about the size of two fists.,0
The kidneys filter about 200 liters of blood per day.,0
"The kidneys produce urine, which carries away waste products from the body.",0
The kidneys also help to regulate blood pressure and red blood cell production.,0
"The kidneys are located near the middle of the back, just below the rib cage.",0
The liver is about the size of a football.,0
The liver is the largest internal organ in the body.,0
"The liver performs over 500 different functions, including",0
Detoxifying the blood,0
"Producing bile, which helps to digest fats",0
"Storing glycogen, which is a form of sugar that the body uses for energy",0
Producing blood clotting factors,0
The liver is located in the upper right quadrant of the abdomen.,0
The skin is the largest organ in the human body.,0
"The skin is made up of three layers the epidermis, the dermis, and the hypodermis.",0
The epidermis is the outermost layer of the skin and is made up of dead skin cells.,0
"The dermis is the middle layer of the skin and is made up of connective tissue, blood vessels, and nerves.",0
The hypodermis is the innermost layer of the skin and is made up of fat cells.,0
"The skin helps to protect the body from the elements, infection, and injury.",0
The skin also helps to regulate body temperature and produce vitamin D.,0
An adult human body has 206 bones.,0
"The skin is the largest organ in the human body, covering a surface area of approximately 2 square meters 22 square feet.",0
"The stapes, located in the middle ear, is the smallest bone in the human body, measuring only about 3 millimeters 0.12 inches in length.",0
"There are over 600 muscles in the human body, making up approximately 40% of the bodys weight.",0
"The masseter muscle, located in the jaw, is the strongest muscle in the human body relative to its size. It can exert a force of up to 55 pounds 25 kilograms per square inch.",0
"The average person has around 10,000 taste buds, which are located on the tongue, the roof of the mouth, and the back of the throat.",0
The fastest nerve impulse in the human body travels at a speed of approximately 200 miles per hour 320 kilometers per hour.,0
The average adult human body contains about 5 liters 1.3 gallons of blood.,0
"The appendix is a small, fingershaped organ attached to the large intestine. Its exact function is not fully understood, but it is believed to play a role in the immune system.",0
Yawning is a natural reflex that helps regulate body temperature and oxygen levels in the blood.,0
"Dreams are thought to help process information, consolidate memories, and regulate emotions.",0
"The average person has around 100,000 hairs on their head.",0
The most common blood type in the world is O positive.,0
"The time it takes for a human body to decompose varies depending on factors such as temperature, humidity, and the presence of insects. In general, it can take anywhere from a few weeks to several years.",0
"All organs in the human body are important and work together to maintain homeostasis and overall health. However, some organs, such as the heart, brain, and lungs, are considered vital organs because their failure can quickly lead to death.",0
"The human heart beats about 100,000 times a day.",0
The average person produces about 1 liter of saliva a day.,0
The human stomach can hold about 1 liter of food.,0
The human brain weighs about 3 pounds.,0
"The human body contains about 60,000 miles of blood vessels.",0
The human eye can see more colors than a camera.,0
The human nose can smell more than 1 trillion different scents.,0
"The human tongue can taste about 10,000 different flavors.",0
The human skin is the largest organ in the body.,0
The human body is made up of about 70% water.,0
"The human body is constantly changing. Every day, we lose about 1 million skin cells.",0
"The human body is a complex and amazing machine. It is capable of incredible things, and it is constantly adapting and changing.",0
"The unit for mass is Kg (Kilograms).", 0
"The unit for volume is ml (millilitres).", 0
"The unit for length is m (meters).", 0
"The unit for temperature is oC (degrees centigrade).", 0
"An atom is a very small particle.", 0
"Solids have a fixed volume and shape.", 0
"Liquids have a fixed volume but take up the shape of the container they are in.", 0
"Gases take up the volume of the container they are in.", 0
"Density is how heavy something is for its volume.", 0
"The three states of matter are solid liquid and gas.", 0
"Malleable means it can be bent and shaped.", 0
"Ductile means it can be drawn out into a thin wire.", 0
"In a solid particles are tightly packed in rows and columns.", 0
"In a liquids particles are closely packed in a random arrangement.", 0
"In a gas particles are far apart.", 0
"In a solid the particles move by vibrating about a fixed position.", 0
"In a liquid particles move by flowing over each other.", 0
"In a gas, particles move very fast and in random directions.", 0
"All matter is made up of particles.", 0
"An element is made up of one type of atom.", 0
"The periodic table has 8 groups.", 0
"The rows in the periodic table are called periods.", 0
"The atomic number of an element is the number of protons.", 0
"The mass number of an element is the number of proton + neutrons.", 0
"In a neutral atom the number of protons = number of electrons.", 0
"The scientist who came up with the idea of atoms as tiny balls was John Dalton.", 0
"The scientist who came up with the plum pudding model was JJ Thompson.", 0
"The scientist who discovered the nucleus was Ernest Rutherford.", 0
"The scientist who came up with the idea that electrons were held in shells around the nucleus was Bohr.", 0
"The molecular formula for hydrogen gas is H2", 0
"A molecule is two or more atoms chemically bonded together", 0
"A compound is two or more different elements chemically bonded together.", 0
"Gases can be compressed", 0
"Atoms contain protons, neutrons and electrons", 0
"Protons have a positive charge", 0
"Neutrons have no charge", 0
"Electrons have a negative charge", 0
"Atoms have a nucleus at their centre", 0
"Protons and neutrons are held in the nucleus", 0
"Elections orbit the nucleus in shells", 0
"The molecular formula for oxygen gas is O", 0
"The molecular formula for methane is CH", 0
"The molecular formula for carbon dioxide is CO", 0
"The molecular formula for water is H2O.", 0
"The molecular formula for chlorine is Cl", 0
"The molecular formula for ammonia is NH", 0
"The test for carbon dioxide is that it turns limewater milky.", 0
"The test for hydrogen is it burns with a squeaky pop.", 0
